joueur,Top1,Top2,Top3,Top4,Top5,belge,vert,equipe,pois,comba,ad,cdc
Robin,,,,,,,,,,,,
Boul,,,,,,,,,,,,
Sven,,,,,,,,,,,,
Perrine,,,,,,,,,,,,
Danne,,,,,,,,,,,,
Léon,,,,,,,,,,,,
